Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.53435,0.12977,0.48855,-1.01587,0.05859,-0.13647,0.00,0.00,0.00
2,-1.46565,-0.10687,0.38168,-1.01538,0.06421,-0.13354,0.00,0.00,0.00
3,-1.17557,-0.03817,0.03817,-1.01563,0.06812,-0.13770,0.00,0.00,0.00
4,-1.38168,-0.30534,-0.06107,-1.02222,0.06445,-0.13574,0.00,0.00,0.00
5,-1.00763,-0.16794,-0.26718,-1.01929,0.06079,-0.13452,0.00,0.00,0.00
6,-1.26718,-0.31298,-0.16794,-1.01465,0.06641,-0.13159,0.00,0.00,0.00
7,-1.06870,-0.61832,-0.03053,-1.02661,0.06421,-0.13208,0.00,0.00,0.00
8,-0.96183,-0.29008,-0.19847,-1.01465,0.06226,-0.13428,0.00,0.00,0.00
9,-0.92366,-0.21374,-0.31298,-1.01733,0.06128,-0.12695,0.00,0.00,0.00
10,-1.00763,-0.29771,-0.28244,-1.02295,0.05688,-0.13721,0.00,0.00,0.00
11,-0.77099,-0.04580,-0.25191,-1.02026,0.06348,-0.12671,0.00,0.00,0.00
12,-0.67939,0.17557,-0.34351,-1.01392,0.06055,-0.13965,0.00,0.00,0.00
13,-0.60305,-0.09924,-0.30534,-1.01782,0.05615,-0.13721,0.00,0.00,0.00
14,-0.51908,-0.29008,-0.24427,-1.01636,0.06152,-0.14136,0.00,0.00,0.00
15,0.02290,-0.30534,-0.20611,-1.01367,0.06616,-0.12842,0.00,0.00,0.00
16,-0.09924,-0.15267,-0.32824,-1.01709,0.05688,-0.13208,0.00,0.00,0.00
17,-0.23664,-0.01527,-0.34351,-1.01514,0.06128,-0.13770,0.00,0.00,0.00
18,-0.12977,-0.38931,-0.33588,-1.01758,0.06274,-0.13330,0.00,0.00,0.00
19,-0.03817,-0.36641,-0.29008,-1.01489,0.06030,-0.13745,0.00,0.00,0.00
20,0.09924,-0.33588,-0.42748,-1.01807,0.06250,-0.13403,0.00,0.00,0.00
21,-0.06870,-0.29771,-0.25954,-1.01685,0.06592,-0.13794,0.00,0.00,0.00
22,0.03053,-0.40458,-0.40458,-1.01660,0.06152,-0.13403,0.00,0.00,0.00
23,-0.03817,-0.35878,-0.34351,-1.02612,0.06543,-0.13354,0.00,0.00,0.00
24,0.19847,-0.42748,-0.27481,-1.01489,0.06543,-0.13525,0.00,0.00,0.00
25,0.09160,-0.45802,-0.39695,-1.01709,0.05981,-0.13672,0.00,0.00,0.00
26,0.27481,-0.60305,-0.12977,-1.02026,0.05981,-0.12256,0.00,0.00,0.00
27,0.29008,-0.54962,-0.24427,-1.01685,0.06030,-0.13599,0.00,0.00,0.00
28,0.06870,-0.36641,-0.35878,-1.01978,0.06055,-0.12769,0.00,0.00,0.00
29,-0.12214,-0.47328,-0.24427,-1.01465,0.06348,-0.12817,0.00,0.00,0.00
30,-0.06107,-0.35878,-0.18321,-1.01416,0.06641,-0.12866,0.00,0.00,0.00
31,0.02290,-0.29008,-0.48092,-1.01953,0.05371,-0.12354,0.00,0.00,0.00
32,0.24427,-0.35878,-0.43511,-1.01514,0.06567,-0.13354,0.00,0.00,0.00
33,0.19084,-0.29008,-0.39695,-1.01758,0.05981,-0.14087,0.00,0.00,0.00
34,0.02290,-0.17557,-0.60305,-1.01953,0.06152,-0.13403,0.00,0.00,0.00
35,0.12214,-0.53435,-0.70229,-1.01196,0.06567,-0.12573,0.00,0.00,0.00
36,0.16031,-0.19084,-0.81679,-1.02026,0.06152,-0.13574,0.00,0.00,0.00
37,0.08397,-0.33588,-0.71756,-1.02515,0.06104,-0.13184,0.00,0.00,0.00
38,0.33588,-0.21374,-0.68702,-1.02026,0.06030,-0.13403,0.00,0.00,0.00
39,0.12214,-0.09924,-1.02290,-1.01855,0.06738,-0.12109,0.00,0.00,0.00
40,-0.17557,-0.06107,-0.83969,-1.01294,0.06006,-0.12671,0.00,0.00,0.00
41,0.19084,-0.03053,-0.96947,-1.01489,0.05737,-0.12720,0.00,0.00,0.00
42,0.24427,0.00763,-0.74809,-1.01733,0.05811,-0.12866,0.00,0.00,0.00
43,0.39695,-0.04580,-0.63359,-1.02124,0.06128,-0.13550,0.00,0.00,0.00
44,0.39695,-0.09160,-0.52672,-1.01489,0.05981,-0.13501,0.00,0.00,0.00
45,0.51145,-0.11450,-0.54962,-1.01245,0.06274,-0.13672,0.00,0.00,0.00
46,0.38168,-0.26718,-0.59542,-1.01709,0.05859,-0.14185,0.00,0.00,0.00
47,0.28244,-0.00763,-0.49618,-1.02173,0.06519,-0.12329,0.00,0.00,0.00
48,0.45802,-0.04580,-0.48092,-1.01416,0.05884,-0.13696,0.00,0.00,0.00
